name,min,a,b,max
0,0,81,4093,4095
1,0,10,3959,4095
2,0,174,3609,4095
3,0,175,4093,4095
4,0,193,3211,4095
5,0,154,3560,4095
6,0,0,3972,4095
7,0,286,3923,4095
8,0,224,3684,4095
9,0,276,3787,4095
10,0,354,3404,4095
11,0,395,3500,4095
12,0,241,2933,4095
13,0,1022,2134,2624
14,0,1025,2139,2624
15,0,557,1741,2271
16,0,693,1937,2350
17,0,1032,2043,2624
18,0,1018,1980,2624
19,0,0,3674,4095
20,0,0,3712,4095
21,0,114,3898,4095
22,0,0,3654,4095
23,0,186,3548,4095
24,0,355,3697,4095
25,0,315,3635,4095
26,0,141,3377,4095
27,0,132,3948,4095
28,0,74,4080,4095
29,0,107,3758,4095
30,0,142,3447,4095
31,0,168,3806,4095
32,0,217,3927,4095
33,0,67,3725,4095
34,0,195,3240,4095
35,0,210,3931,4095
36,0,430,3732,4095
37,0,0,3369,4095
38,0,190,3169,4095
39,0,217,3270,4095
40,0,222,3457,4095
41,0,254,2596,4095
42,0,255,3651,4095
43,0,330,3334,4095
44,0,7,3790,4095
45,0,22,3514,4095
46,0,232,3322,4095
47,0,0,3579,4095
48,0,0,3773,4095
49,0,77,4014,4095
